name,sku,category,price,quantity
Bluetooth Speaker,BS-201,Electronics,45.99,18
Winter Jacket,WJ-015,Apparel,129.99,5
Stainless Water Flask,SF-044,Accessories,24.99,0
Jump Rope,JR-008,Fitness,9.99,35
Laptop Stand,LS-120,Electronics,39.99,12
Cotton Hoodie,CH-033,Apparel,54.99,7
Trail Running Shoes,TR-066,Footwear,119.99,3
Gym Towel,GT-011,Fitness,11.49,50
Aviator Sunglasses,AS-077,Accessories,32.00,0
Slip-On Loafers,SL-092,Footwear,64.99,9
Protein Shaker,PS-019,Fitness,13.99,22
Wireless Mouse,WM-205,Electronics,27.49,15
